노선번호,기점,경유지,종점,첫차 출발시간(기점/종점),막차 출발시간(기점/종점),운행간격(분),운행시간(분),운행거리(km),면허대수(대),운행회수(회),비고
1,왕길동 기점,"경인특장, 당하동탑스빌, 검암역 입구, 공촌사거리, 국제성모병원, 가정보금자리 3블럭, 하늘채아파트, 석남아파트, 원적산터널, 부평구청, 부평역, 인천성모병원정문, 부평경찰서, 석남고가사거리, LH웨스턴블루힐, 백석고가, 수도권매립지정문앞, 인천여객터미널, 청라국제도시역, 수도권매립지관리동",인천성모병원,05:00/05:00,17:50/19:45,15,274,74,21,81,신동아교통
2,월미도,"인천역, 송월동, 동일방직, 화도진공원, 화평동, 동인천역, 배다리, 송림로타리, 제물포역, 도화오거리, 주안사거리, 석바위, 간석오거리, 부평삼거리, 백운역, 부평역, 산곡동, 청천동, 효성사거리",효성뉴서울아파트,05:00/04:45,23:00/23:00,7,216,47.63,37,185,동화운수
2-1,계산단지(계산여고),"아주(아), 까치공원, 작전역, 하나A101동, 아나지 고개, 가정보금자리 3블럭, 광명메이루즈, 중흥S클래스 1차, 호반베르디움 14단지, 상록힐스테이트, 한화끔에그린, 호수공원, 청라달튼국제학교, 청라국제도시역, 인천환경공단입구, 화력발전소, 해동실버타운",청라동문굿모닝힐,05:00/05:00,23:00/23:00,18,193,48.82,12,67,동화운수
3-2,동춘동 종점,"무지개아파트, 인천뷰티예술고등학교, 동막역(4번출구), 유수지근린공원, 호구표역, 논현주공아파트, 공단회관, 도림동 입구, 승기천, 신세계백화점(인천터미널), 제물포여자중학교, 인고앞, 석바위시장, 십정사거리, 범양아파트, 쌍마아파트, 석남고가사거리, 인천연합의원, 가정동성당, 서해그랑블, 경인폐차사업소",가좌동차고지,04:40/04:40,22:10/22:10,20,261,61,14,56,성민버스
4,가좌동차고지,"현대제철,송현2동,화평사거리,동인천역,숭의로터리,제일시장,용일사거리,문학동,종합터미널,남촌동,도림동,논현주공,남동공단,신연수역,인천여고,연수구청",동춘동 종점,05:00/05:00,22:40/22:40,13,265,60.79,23,92,삼환교통
5,운연역,"서창2지구, 서창2 휴먼시아7단지 후문앞, 도림고, 승기천, 구월아시아드8단지, 신세계백화점, 인명여고, 문학우체국, 학익고, 인하대 정문, 신창아파트, 옹진군청, 토지금고시장앞, 하나로 쇼핑 ",인하대병원,05:30/05:30,23:00/23:00,19,169,40.36,10,62,용현운수
5-1,용현2동 굴다리,"용현초등학교, 토지금고시장, 옹진군청, SK스카이뷰, 인하대 정문, 두산위브아파트, 풍림아이원아파트, 학익2동주민센터, 재흥시장, 구)시민회관사거리, 주안역(고려예식장)",주안역 환승정류장,05:30/05:30,23:20/24:00,19,100,18.63,6,66,용현운수
6,송도공영차고지,"인천대학교공과대학, 셀트리온, 웰카운티, 송도컨벤시아, 동막역, 서면초등학교, 나사렛국제병원앞, 연수어린이도서관, 청학중학교, 동남스포피아, 가천의과학대학교, 문학경기장(박태환수영장), 신세계백화점(인천터미널), 길병원사거리, 남동소방서, 모래내시장역, 만수역, 남동구청, 남동중학교, 남동체육관(체조경기장), 서창2지구15블럭, 서창2휴먼시아7단지 후문, 도림주공단지, 인천논현역앞, 사리울중학교, 연수구청, 동막역, 먼우금초, 인천카톨릭대, 인천대학교자연과학대학 (시계방향)",송도공영차고지,5:00,23:00,13,210,52.73,19,97,원진운수
6-1,송도공영차고지,"인천대학교공과대학, 웰카운티4단지, 더샵하버뷰, 송도힐스테이트, 동막역, 연수구청, 경진브로아, 김미현골프장, 사리울중학교, 에코메트로7단지, 인천논현역앞, 주적골, 도림주공단지, 서창2휴먼시아7단지 후문, 서창2지구15블럭, 남동중학교, 남동구청, 만수역, 모래내시장역, 길병원사거리, 신세계백화점(인천터미널), 선학역, 동남스포피아, 청학중학교, 연수여고, 동막역, 더샵하버뷰, 송도컨벤시아, 지식정보단지역, 인천대학교공과대학 (반시계방향)",송도공영차고지,05:00/05:00,23:00/24:20,13,215,53.28,19,95,대인교통
6-2,송도공영차고지,"셀트리온(주), 미관광장, 인천카톨릭대, 송도더샵퍼스트파크 14단지,경제자유구역청, 다샵엑스포빌리지, 금호아파트, 신송고등학교, 연세대, 글로벌 캠퍼스, 지식정보단지역(4번출구),알앤디써비스, 인천대학교 공과대학 (시계방향)",송도공영차고지,5:30,23:30,22,71,18.22,4,60,원진운수
