date,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,count
20110411,23.678598,1.862068,3.365532,129.260966,22.046661,28,2,4,150,26,1000
20110412,23.436641,1.568504,1.80704,110.107599,28.552481,28,2,2,128,33,1000
20110413,17.595715,3.441165,3.351268,103.535217,17.206766,21,4,4,121,21,1000
20110414,16.065135,4.921378,5.183304,102.417106,15.457086,19,6,6,121,18,1000
20110415,16.86991,1.555661,3.334624,121.630811,14.709462,20,2,4,141,18,1000
20110416,17.116615,4.519207,1.84942,114.943234,20.555876,20,5,2,134,24,1000
20110417,25.594954,4.246979,3.58848,122.775329,15.570839,30,5,4,142,18,1000
20110418,15.250017,5.303843,4.020199,110.789575,24.152601,18,6,5,128,29,1000
20110419,18.58136,0.931034,8.44312,119.981484,16.891824,22,1,10,139,20,1000
20110420,18.766088,1.661918,2.62951,129.577488,18.624605,22,2,3,149,22,1000
20110421,25.237808,1.659988,1.627278,128.151413,19.621094,30,2,2,149,23,1000
20110422,15.86015,2.559337,4.342932,118.560208,11.720871,19,3,5,138,14,1000
20110423,18.109133,7.190744,6.228546,129.810959,21.892784,21,8,7,151,26,1000
20110424,20.162255,2.549789,1.691342,179.693344,15.62038,24,3,2,204,18,1000
20110425,19.239691,3.302728,5.389045,119.237033,21.10233,23,4,6,137,25,1000
20110426,18.185665,3.557669,5.072008,100.751129,21.307341,22,4,6,117,25,1000
20110427,24.143848,2.46459,3.899618,104.404073,22.403443,29,3,5,122,27,1000
20110428,17.081067,5.304982,4.105967,102.843934,21.266104,20,6,5,121,25,1000
20110429,20.729082,1.684967,1.818939,129.733906,14.705723,25,2,2,151,18,1000
20110430,18.483462,2.48789,0.972624,98.7563,17.631713,22,3,1,115,21,1000
20110501,19.660711,6.11947,6.405098,98.416719,27.265669,23,7,7,115,32,1000
20110502,22.469259,4.985149,6.114219,91.942465,20.277801,26,6,7,106,24,1000
20110503,26.49761,6.226991,8.373544,106.33538,27.675849,31,7,9,123,32,1000
20110504,14.125742,5.1772,4.645719,112.727406,23.211725,17,6,5,132,28,1000
20110505,16.187311,6.028301,2.850211,107.794084,21.578178,19,7,3,124,25,1000
20110506,21.256949,1.862068,2.577098,141.324868,13.340283,25,2,3,163,16,1000
20110507,25.383852,2.730942,2.660832,118.636823,20.713776,30,3,3,138,24,1000
20110508,19.80061,1.583419,0.934029,135.397556,22.577078,24,2,1,156,27,1000
20110509,14.349144,1.758689,1.729199,125.210762,17.431156,17,2,2,146,20,1000
20110510,21.291996,6.024834,6.388533,108.709156,28.781054,25,7,7,126,34,1000
20110511,19.242157,3.58319,5.430281,120.278154,21.142685,23,4,6,141,25,1000
20110512,18.66091,6.079101,4.50879,115.488208,15.224367,22,7,5,135,18,1000
20110513,17.414649,4.299183,5.446472,133.149638,13.778085,20,5,6,156,16,1000
20110514,14.409347,5.061394,5.025787,137.68849,11.007797,17,6,6,160,13,1000
20110515,23.937485,2.793102,4.46772,100.197721,18.538231,28,3,5,117,22,1000
20110516,23.906944,6.00459,4.433978,118.83926,20.7399,28,7,5,139,24,1000
20110517,23.881368,3.319512,1.808332,100.22216,22.454802,29,4,2,116,26,1000
20110518,16.973762,3.426249,8.229282,124.314528,22.470651,20,4,9,145,26,1000
20110519,19.071439,2.671198,2.596885,108.829483,15.927164,23,3,3,126,19,1000
20110520,25.354867,5.986181,6.111289,93.976846,13.364432,30,7,7,109,16,1000
20110521,15.989679,5.842673,2.638759,104.358945,17.223112,19,7,3,121,20,1000
20110522,19.235394,4.724136,3.746589,121.68599,22.036762,23,5,4,140,26,1000
20110523,20.775984,2.561359,2.451125,123.915782,22.49827,25,3,3,144,27,1000
